City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,tongouson,5.0214,120.1328,28.66,68,98,0.54,PH,1682645003
245,kananga,-5.8958,22.4178,20.94,93,57,1.63,CD,1682645003
246,khandyga,62.6667,135.6,1.75,79,100,0.52,RU,1682645004
247,mora,11.0461,14.1401,33.13,24,100,2.01,CM,1682645004
248,orange beach,30.2944,-87.5736,21.86,79,100,4.12,US,1682645004
249,santo tome,-31.6627,-60.7653,21.68,79,6,2.24,AR,1682645005
250,kijang,35.2442,129.2139,17.85,62,7,5.74,KR,1682645005
251,cidade velha,14.9167,-23.6167,22.26,73,20,6.69,CV,1682645005
252,kismayo,-0.3582,42.5454,26.52,83,100,4.67,SO,1682645006
253,sangueya,10.7,-14.3667,23.96,80,84,1.24,GN,1682645006
254,susuman,62.7833,148.1667,-2.72,80,78,1.6,RU,1682645006
255,ambon,-3.6954,128.1814,28.86,92,40,0.51,ID,1682644824
256,sirte,31.2089,16.5887,17.0,74,1,4.57,LY,1682645007
257,mazatlan,23.2167,-106.4167,25.98,82,0,5.14,MX,1682644730
258,san luis de la loma,17.2706,-100.8939,26.85,66,94,3.51,MX,1682645007
259,kerikeri,-35.2268,173.9474,17.17,91,100,0.45,NZ,1682645008
260,lata,40.1629,-8.3327,15.6,81,100,0.46,PT,1682645008
261,nar'yan-mar,67.6713,53.087,-4.83,95,100,3.83,RU,1682645009
262,iraucuba,-3.7461,-39.7833,21.89,90,100,1.5,BR,1682645009
263,sitka,57.0531,-135.33,6.94,81,100,5.14,US,1682644943
264,tubarjal,30.4999,38.216,20.29,30,75,2.92,SA,1682645009
265,batabano,22.7164,-82.2881,27.34,72,88,4.28,CU,1682645010
266,muroto-misakicho,33.2833,134.15,16.97,58,100,1.37,JP,1682645010
267,nouadhibou,20.931,-17.0347,18.99,88,1,7.2,MR,1682645010
268,itoman,26.1247,127.6694,26.01,67,75,4.12,JP,1682645010
269,kupang,-10.1667,123.5833,30.32,70,20,6.69,ID,1682645011
270,joetsu,37.1483,138.2364,22.84,48,1,2.43,JP,1682645011
271,berezovo,63.9381,65.0419,-4.16,90,99,6.04,RU,1682645012
272,wynyard,-41.0,145.7167,11.32,83,100,6.78,AU,1682645012
273,cumnock,55.4544,-4.2664,8.33,92,100,2.0,GB,1682645012
274,sona,45.4388,10.8255,13.77,73,0,2.06,IT,1682645012
275,protaras,35.0125,34.0583,14.44,89,22,1.34,CY,1682645013
276,thinadhoo,0.5333,72.9333,27.86,77,100,3.14,MV,1682645013
277,tangalle,6.024,80.7911,25.51,89,73,3.32,LK,1682645013
278,guerrero negro,27.9769,-114.0611,16.76,78,7,8.01,MX,1682645014
279,cacapava do sul,-30.5122,-53.4914,13.61,73,76,1.47,BR,1682645014
280,bandar abbas,27.1865,56.2808,21.99,83,10,3.09,IR,1682644805
281,chibougamau,49.9168,-74.3659,0.79,86,0,0.0,CA,1682645014
282,iwaki,37.05,140.8833,22.09,65,0,1.34,JP,1682645015
283,vilyuchinsk,52.9306,158.4028,5.15,65,100,10.62,RU,1682645015
284,amga,60.8953,131.9608,1.91,92,100,1.17,RU,1682645015
285,plavsk,53.7094,37.2919,10.85,93,100,3.5,RU,1682645016
286,minas de marcona,-15.2119,-75.1103,17.05,83,17,4.29,PE,1682645016
287,oppdal,62.5943,9.6912,-7.33,98,79,1.52,NO,1682645016
288,quzhou,28.9594,118.8686,18.9,80,100,1.42,CN,1682645016
289,saldanha,-33.0117,17.9442,14.03,82,1,1.69,ZA,1682645017
290,ingeniero jacobacci,-41.3427,-69.5448,12.68,65,100,3.81,AR,1682645017
291,panaba,21.2833,-88.2667,28.0,56,10,7.47,MX,1682645017
292,zambezi,-13.5432,23.1047,13.78,67,70,2.36,ZM,1682645017
293,xilin hot,43.9667,116.0333,5.77,17,47,3.91,CN,1682645018
294,flekkefjord,58.2971,6.6607,4.41,86,36,1.92,NO,1682645018
295,shingu,33.7333,135.9833,18.25,49,95,2.19,JP,1682645018
296,aljezur,37.3191,-8.8033,17.38,68,100,2.17,PT,1682645019
297,saint-philippe,-21.3585,55.7679,21.77,77,67,4.09,RE,1682645019
298,fort mcmurray,56.7268,-111.381,12.77,40,100,2.06,CA,1682644942
299,suoyarvi,62.0833,32.35,7.1,91,100,4.49,RU,1682645020
300,savalou,7.9281,1.9756,24.1,89,100,2.29,BJ,1682645020
301,penzance,50.1186,-5.5371,11.38,98,100,8.16,GB,1682645020
302,tirmiz,37.2242,67.2783,16.05,55,0,4.12,UZ,1682645020
303,westport,41.1415,-73.3579,10.51,89,0,2.24,US,1682645021
304,andratx,39.5755,2.4202,17.01,61,69,3.13,ES,1682645021
305,petauke,-14.2426,31.3253,15.32,87,5,3.5,ZM,1682645022
306,gejiu,23.306,103.1635,15.97,77,46,2.59,CN,1682645022
307,rongelap,11.1635,166.8941,27.03,82,35,9.17,MH,1682644874
308,lebowakgomo,-24.2,29.5,15.5,71,0,1.44,ZA,1682645022
309,grand-bassam,5.2118,-3.7388,27.98,88,100,2.28,CI,1682644802
310,laoang,12.5,125.0167,29.47,73,3,2.77,PH,1682645023
311,malabar,-33.9667,151.25,26.51,57,0,4.63,AU,1682645023
312,eureka,40.8021,-124.1637,20.11,70,11,1.34,US,1682645024
313,port saint john's,-31.6229,29.5448,21.15,88,87,2.96,ZA,1682645024
314,matoury,4.8483,-52.3317,23.98,100,100,0.0,GF,1682645024
315,punta del este,-34.9667,-54.95,16.06,93,75,1.54,UY,1682645025
316,hatillo,18.4863,-66.8254,27.28,84,38,0.89,PR,1682645025
317,salavan,15.7167,106.4167,29.68,58,14,0.82,LA,1682645025
318,nieuw amsterdam,5.8833,-55.0833,26.19,89,100,3.78,SR,1682645026
319,severo-yeniseyskiy,60.3725,93.0408,-1.65,93,100,1.77,RU,1682645026
320,esmeralda,21.8525,-78.1169,24.51,74,100,3.19,CU,1682645026
321,helmond,51.4817,5.6611,9.08,78,100,3.09,NL,1682645027
322,paramirim,-13.4425,-42.2389,23.47,50,13,1.02,BR,1682645027
323,huayin,34.5675,110.0921,17.21,51,100,5.69,CN,1682645027
324,wewak,-3.5534,143.6268,29.94,68,61,1.26,PG,1682645028
325,khanty-mansiysk,61.0042,69.0019,1.06,86,40,3.13,RU,1682645028
326,dame-marie,18.5667,-74.4167,25.45,77,100,3.09,HT,1682645028
327,hithadhoo,-0.6,73.0833,28.42,77,100,3.79,MV,1682645029
328,beira,-19.8436,34.8389,22.05,100,20,1.03,MZ,1682645029
329,namsos,64.4662,11.4957,2.03,93,100,1.54,NO,1682645029
330,aykhal,66.0,111.5,-3.93,91,99,2.39,RU,1682645030
331,ghanzi,-21.5667,21.7833,21.21,38,14,2.37,BW,1682645030
332,sao vicente,-23.9631,-46.3919,23.1,26,94,0.72,BR,1682645030
333,majuro,7.0897,171.3803,29.98,74,75,5.66,MH,1682645031
334,taupo,-38.6833,176.0833,15.51,52,100,0.43,NZ,1682645031
335,uturoa,-16.7333,-151.4333,27.59,77,78,3.59,PF,1682645031
336,pingxiang,27.6167,113.85,19.22,95,100,0.61,CN,1682645031
